epoch,train_loss,val_loss,val_acc
1,0.69096903015027,0.6795644624191418,0.6637168141592921
2,0.680573028273287,0.6690761457409775,0.6548672566371682
3,0.6709609986406512,0.6580488383769989,0.6548672566371682
4,0.6582281002692417,0.6491974681092981,0.6637168141592921
5,0.6619959655588707,0.6478007169146287,0.6548672566371682
6,0.6426269061270014,0.636048416296641,0.672566371681416
7,0.6384299541205432,0.6338428729458859,0.6460176991150443
8,0.6412117084306953,0.6248968505022818,0.6460176991150443
9,0.6291985462988372,0.6177260290112412,0.6902654867256637
10,0.6319495425023863,0.6243371257656499,0.672566371681416
11,0.6239544536951369,0.6106199245703848,0.6902654867256637
12,0.6055993566998338,0.6108111143112183,0.6548672566371682
13,0.6142555131057722,0.6070691585017923,0.6460176991150443
14,0.5921459801956616,0.6051514985268576,0.6902654867256637
15,0.6127328114435736,0.5984854117820138,0.6814159292035398
16,0.6040323254017703,0.5949820212104864,0.6814159292035398
17,0.5945147260100441,0.6472719761363247,0.6283185840707964
18,0.5940233628570506,0.5938165208749604,0.6902654867256637
19,0.5951832441893299,0.6178365041289413,0.5929203539823009
20,0.5722639163774726,0.6070132158827364,0.672566371681416
21,0.5704488208336113,0.5840913674287629,0.6902654867256637
22,0.578734740614891,0.58684255784018,0.7079646017699115
23,0.5718038606960162,0.5827473885657495,0.6902654867256637
24,0.5675014622707283,0.5788894219879519,0.6991150442477876
25,0.5643732325561279,0.5759831685246083,0.7079646017699115
26,0.5587440242545795,0.5930261666837492,0.672566371681416
27,0.5306387797525499,0.602449132162228,0.6637168141592921
28,0.5518105361709552,0.5990113459135357,0.6283185840707964
29,0.549549461993496,0.6371462026186157,0.5929203539823009
30,0.5393469817606749,0.569490469600025,0.7256637168141593
31,0.5324197437251563,0.564056639608584,0.7433628318584071
32,0.5328431606160856,0.5943839116054669,0.672566371681416
33,0.5282233686441868,0.5647996611762465,0.7079646017699115
34,0.5192762256591721,0.5668192728046786,0.6991150442477876
35,0.5143876547834515,0.5698352073106849,0.6991150442477876
36,0.5144032186836796,0.648015201876038,0.6283185840707964
37,0.5289007679155443,0.5831248172019657,0.672566371681416
38,0.5205202188375777,0.5652554913571006,0.7256637168141593
39,0.5087223899575462,0.6319366237312033,0.6548672566371682
40,0.49879324716408696,0.5494744578997294,0.7433628318584071
41,0.5143225442255492,0.5752091308434805,0.6814159292035398
42,0.5077378979958265,0.5700701915642672,0.6902654867256637
43,0.5023984773892217,0.5353984384421717,0.7345132743362832
