epoch,train_loss,val_loss,val_acc
1,0.6820400547137303,0.6700084962342915,0.6548672566371682
2,0.6737054219815584,0.6651586153005299,0.6194690265486725
3,0.6533062898479731,0.6617178896017242,0.6106194690265486
4,0.6477165570301292,0.6711056274280214,0.5752212389380531
5,0.6541563198629734,0.6498408965897142,0.6548672566371682
6,0.6443298349602032,0.6475827354088164,0.6460176991150443
7,0.6433457777035975,0.6619463923730349,0.6106194690265486
8,0.6337850800657694,0.7270864880921548,0.4778761061946903
9,0.6441624628759064,0.649596237299735,0.6371681415929203
10,0.6266728491909737,0.6469454305213794,0.6371681415929203
11,0.6195596287735795,0.6331242558203245,0.6814159292035398
12,0.6251507999490847,0.6597881160284343,0.6106194690265486
13,0.6245030762083763,0.6369071398910723,0.6371681415929203
14,0.616368833105121,0.6439655438849801,0.6283185840707964
15,0.609576945547509,0.6393413826038963,0.6371681415929203
16,0.6201411621496741,0.6704927426681184,0.6371681415929203
17,0.610413670737659,0.6587691626005006,0.6283185840707964
18,0.5974967350474502,0.6662531484637344,0.6283185840707964
19,0.5995897588081065,0.6372581521670023,0.6548672566371682
20,0.5877278974625917,0.6344234478055385,0.6637168141592921
21,0.5611399795233676,0.6946162544844443,0.5309734513274337
22,0.5766226688844968,0.6274537538227282,0.6902654867256637
23,0.5894718642255902,0.7045310748773709,0.5486725663716814
24,0.5665983349348591,0.6315407499409559,0.6283185840707964
25,0.5654633148713449,0.6346784945119891,0.6371681415929203
26,0.5653519924828964,0.6610548940666935,0.6194690265486725
27,0.57599613944118,0.6300598618231321,0.672566371681416
28,0.5476681376452994,0.6296080444988451,0.6371681415929203
29,0.5501183503496964,0.6422979949336303,0.6460176991150443
30,0.5524596209942767,0.6273097346226374,0.6991150442477876
31,0.5561417382770935,0.6341792418245684,0.6283185840707964
32,0.5450899592411201,0.6292582857504225,0.672566371681416
33,0.532548819231776,0.6621994574864706,0.6017699115044248
34,0.5476744962213314,0.6176236159445947,0.7079646017699115
35,0.5261817386258493,0.6283952797714033,0.6283185840707964
36,0.5258892582712975,0.6474845113984325,0.6194690265486725
37,0.5409607866498749,0.642063341511969,0.6460176991150443
38,0.5294938285596076,0.616946048119612,0.6637168141592921
39,0.5162486599148375,0.6376224889567024,0.6194690265486725
40,0.5161560731321837,0.6113757143417994,0.7256637168141593
41,0.5114233846553659,0.6482202504810534,0.6548672566371682
42,0.5088324408351848,0.6955282831924003,0.6017699115044248
43,0.49732609581103365,0.6329104806247511,0.6548672566371682
44,0.4901332068957586,0.6365726689497629,0.6283185840707964
45,0.4990595726510592,0.6100702309294751,0.7079646017699115
46,0.5090880945193029,0.6558455534671482,0.6106194690265486
47,0.5119253567098516,0.677315398005017,0.5752212389380531
48,0.46881874327638506,0.6452029138280634,0.672566371681416
49,0.48597987375296325,0.6656072291365841,0.6371681415929203
50,0.4845903196693522,0.6222845228356227,0.7079646017699115
51,0.5045331752471691,0.6536559807626825,0.6637168141592921
52,0.4711918548013257,0.6205273264071398,0.6991150442477876
53,0.47858189188141737,0.6104747145845179,0.7079646017699115
54,0.4778055951197063,0.6209050430017605,0.6991150442477876
55,0.45984112833980967,0.6217426709961473,0.6902654867256637
56,0.47963861441981476,0.6411121129466776,0.6814159292035398
57,0.46797641633754283,0.6671242780591312,0.6194690265486725
58,0.45787893006561603,1.0895715538869823,0.49557522123893805
59,0.4664576059553476,0.7534774131419366,0.5752212389380531
60,0.44444362667545806,0.6583032137469241,0.6017699115044248
