epoch,train_loss,val_loss,val_acc
1,0.6686369596469787,0.6029106243964164,0.5967741935483871
2,0.6523501841771987,0.602070648824015,0.5967741935483871
3,0.6426055121325678,0.57070813928881,0.6451612903225806
4,0.6249825151697281,0.542824326984344,0.7258064516129032
5,0.6205590893664668,0.5318828109771975,0.8387096774193549
6,0.6169877004238867,0.513180281846754,0.8225806451612904
7,0.6068529419360622,0.4902294455997406,0.8548387096774194
8,0.5993213792962413,0.5229815441754556,0.8064516129032258
9,0.5726365516743352,0.4696962232551267,0.7903225806451613
10,0.5662558590692859,0.4605579385834356,0.8709677419354839
11,0.5705455947787531,0.463959137758901,0.8709677419354839
12,0.575291597074078,0.43145468254243174,0.8548387096774194
13,0.5578261503288823,0.44748734658764255,0.8548387096774194
14,0.5398681744212105,0.4143441129596003,0.8548387096774194
15,0.5405189229115364,0.44983840902005473,0.8387096774193549
16,0.5440862565751998,0.40681915489896653,0.8709677419354839
17,0.5299956504135362,0.3946414570654592,0.8870967741935484
18,0.523153041519465,0.38281792546472243,0.8548387096774194
19,0.5272231904729721,0.36572052249985354,0.8709677419354839
20,0.5121187923416015,0.380930160322497,0.8709677419354839
21,0.5315144942893136,0.4082286408351314,0.8387096774193549
22,0.4939194126955925,0.35680986388075736,0.8870967741935484
23,0.5155084186023281,0.5302028379613354,0.6774193548387096
24,0.5010333133320655,0.36564985614630485,0.9193548387096774
25,0.5032716978701853,0.3861821760093012,0.8709677419354839
26,0.4878751557440527,0.32817195956745454,0.8870967741935484
27,0.4697878507957343,0.3489332453858468,0.8870967741935484
28,0.45050711653405623,0.33038187868172125,0.8870967741935484
29,0.5038765625006729,0.36116137860282777,0.8870967741935484
30,0.4766054840818528,0.40268730444292866,0.8225806451612904
31,0.44135138019919395,0.32697661449351617,0.9032258064516129
32,0.45330887918751084,0.3605871537039357,0.9354838709677419
33,0.47167608129882044,0.3350634459526308,0.9032258064516129
34,0.43460865517056757,0.306857623640568,0.9193548387096774
35,0.45048242627132323,0.337769063970735,0.8870967741935484
36,0.4432688264116164,0.4909452425856744,0.7419354838709677
37,0.4555108093566472,0.3067575188413743,0.9032258064516129
38,0.4093676300779466,0.3134309605004326,0.8870967741935484
39,0.4265162655783276,0.30868388279791803,0.9193548387096774
40,0.3973721388366915,0.31495928680223806,0.8709677419354839
41,0.42506419819208885,0.3096022353537621,0.9032258064516129
42,0.3992264962665016,0.30352702784922814,0.9193548387096774
43,0.42291406181550795,0.3438947734332854,0.8709677419354839
44,0.4091533057151302,0.35706377846579396,0.8387096774193549
45,0.4410052399241155,0.3105790389160956,0.9354838709677419
46,0.4047336986949367,0.31205351698783135,0.9354838709677419
47,0.4177279252438776,0.3530644334612354,0.8064516129032258
48,0.3787152970269803,0.3328115009973126,0.8225806451612904
49,0.40140143908079595,0.27017429927664416,0.8870967741935484
50,0.3752887048608353,0.33902460366727843,0.8548387096774194
51,0.37611882142241926,0.32391425011859787,0.8548387096774194
52,0.3889782249987606,0.26561300150088724,0.9032258064516129
53,0.3965387949419598,0.29390949251190307,0.8709677419354839
54,0.3631765740292688,0.26138151388975883,0.9354838709677419
55,0.31972520095446416,0.2700392089543804,0.9354838709677419
56,0.37755439328330176,0.3063351910921835,0.8870967741935484
57,0.3525755535510759,0.2911052922568014,0.9032258064516129
58,0.38135213407898144,0.41884071836548464,0.8225806451612904
59,0.3758447917418615,0.30617339452428205,0.8709677419354839
60,0.3603377857155377,0.2475777086351187,0.8870967741935484
61,0.3604897062384313,0.25265715499558755,0.9354838709677419
62,0.30962213456270193,0.47292123182166007,0.7903225806451613
63,0.35713094200999024,0.25137829984868726,0.9193548387096774
64,0.3571009266100103,0.23302084772336867,0.9193548387096774
65,0.3336605027077659,0.2678841449800999,0.9516129032258065
66,0.3417925019297869,0.28227094993475943,0.9193548387096774
67,0.35997433258941575,0.3179951161146164,0.9032258064516129
68,0.33811706731155994,0.2604732986900114,0.9516129032258065
69,0.36875344317166076,0.44527563434695044,0.7419354838709677
70,0.3384827501440962,0.24450130844789167,0.9516129032258065
