epoch,train_loss,val_loss,val_acc,val_auc
1,0.7811,0.6637,0.6290,0.6811
2,0.6431,0.6340,0.6129,0.6922
3,0.6035,0.6669,0.6452,0.6883
4,0.5877,0.5818,0.6855,0.7575
5,0.5642,0.5988,0.6935,0.7674
6,0.5871,0.5838,0.7016,0.7841
7,0.5462,0.6030,0.6774,0.7677
8,0.5188,0.6012,0.7097,0.8015
9,0.5161,0.6887,0.6694,0.7854
10,0.5130,0.5804,0.7419,0.8023
11,0.4416,0.5690,0.7339,0.8145
12,0.4663,0.6219,0.7016,0.8106
13,0.4644,0.5776,0.7258,0.8135
14,0.5226,0.5312,0.7581,0.8312
15,0.4293,0.5972,0.7258,0.8085
16,0.4893,0.7961,0.6290,0.7901
17,0.3900,0.7893,0.6855,0.7960
18,0.4263,0.7314,0.7016,0.8052
19,0.3903,0.7031,0.7016,0.8247
20,0.3259,0.7380,0.7097,0.8010
21,0.5135,0.8116,0.6613,0.8208
22,0.5593,0.6930,0.6935,0.8202
23,0.4609,0.5220,0.7742,0.8390
24,0.4136,0.5654,0.7742,0.8364
25,0.4360,0.6057,0.7177,0.8252
26,0.3804,0.8557,0.6532,0.7802
27,0.5009,0.9079,0.6371,0.7932
28,0.4125,0.7602,0.7097,0.8132
29,0.3560,0.5823,0.7339,0.8296
30,0.3772,0.7206,0.6935,0.8018
31,0.4814,0.6773,0.7339,0.8213
32,0.3524,0.6188,0.7258,0.8124
33,0.3935,0.8896,0.6613,0.7846
34,0.3786,0.8830,0.6371,0.8005
35,0.4859,0.5959,0.7500,0.8254
36,0.3449,0.7245,0.6935,0.8104
37,0.4068,0.6315,0.7419,0.8262
38,0.4183,0.6352,0.7097,0.8309
39,0.3341,0.9333,0.6210,0.8205
40,0.4313,0.5109,0.7823,0.8541
41,0.4095,0.5555,0.7903,0.8512
42,0.4138,0.5127,0.7823,0.8548
43,0.3313,0.6867,0.7016,0.8299
44,0.3376,0.5488,0.7823,0.8382
45,0.3330,0.5537,0.7661,0.8421
46,0.4977,0.7879,0.6774,0.8072
47,0.3393,0.7423,0.6774,0.8301
48,0.4170,0.8844,0.6452,0.8231
49,0.4053,0.7955,0.6532,0.8234
50,0.3653,0.7320,0.6774,0.8278
51,0.3814,0.6118,0.7661,0.8411
52,0.2930,0.6333,0.7500,0.8293
53,0.3536,0.7387,0.7016,0.8140
54,0.3432,0.5991,0.7823,0.8489
55,0.3337,0.7690,0.6935,0.8369
56,0.3855,0.8538,0.6452,0.8145
57,0.3357,0.7687,0.6935,0.8278
58,0.3859,0.5617,0.7903,0.8470
59,0.4283,0.9710,0.6371,0.8145
60,0.2871,0.9861,0.6129,0.8161
61,0.3024,0.7591,0.6694,0.8304
62,0.3725,0.5681,0.7823,0.8429
63,0.3214,0.5221,0.7823,0.8639
64,0.3964,0.8566,0.6532,0.8332
65,0.4109,0.9690,0.6210,0.8249
66,0.3756,0.7919,0.6532,0.8392
67,0.3675,0.7356,0.7016,0.8421
68,0.3259,0.8353,0.6694,0.8257
69,0.3432,0.8552,0.6371,0.8291
70,0.3777,0.5887,0.7581,0.8546
71,0.3134,0.8236,0.6371,0.8369
72,0.3756,0.6114,0.7419,0.8535
73,0.3078,0.4754,0.8145,0.8684
74,0.3356,0.8520,0.6452,0.8234
75,0.3024,0.8007,0.6694,0.8293
76,0.3369,0.5918,0.7742,0.8421
77,0.2798,0.5908,0.7339,0.8582
78,0.2658,0.7094,0.7097,0.8340
79,0.2693,0.5685,0.7661,0.8442
80,0.2803,0.8855,0.6532,0.8130
81,0.2819,0.5445,0.7903,0.8564
82,0.3335,0.6206,0.7500,0.8398
83,0.3429,0.5867,0.7419,0.8379
84,0.2753,0.9232,0.6452,0.8273
85,0.2642,0.9872,0.6371,0.8348
86,0.2535,0.8313,0.6532,0.8408
87,0.2762,0.7886,0.6694,0.8499
88,0.2583,0.7165,0.6855,0.8564
89,0.2485,0.8777,0.6371,0.8351
90,0.2258,0.7932,0.6935,0.8543
91,0.2509,0.8075,0.6694,0.8499
92,0.2270,0.6417,0.6935,0.8624
93,0.2518,1.0111,0.6290,0.8437
94,0.1858,0.8838,0.6371,0.8437
95,0.1852,0.6800,0.6935,0.8546
96,0.2099,0.9178,0.6452,0.8335
97,0.2421,0.8450,0.6371,0.8351
98,0.1607,0.9502,0.6371,0.8322
99,0.1833,0.7049,0.7097,0.8483
100,0.2108,0.7139,0.6855,0.8502
