f1,auc,accuracy,recall,precision,run,model_name,balanced,roi_size
0.8292682926829268,0.8946031746031746,0.8141592920353983,0.8095238095238095,0.85,2D_nomes_striatum_rawderiv_20260419_195313,2D_nomes_striatum_rawderiv,True,"[76, 76, 76]"
0.8737864077669902,0.9449685534591195,0.8849557522123894,0.8490566037735849,0.9,2D_nomes_striatum_rawderiv_20260419_195313,2D_nomes_striatum_rawderiv,True,"[76, 76, 76]"
0.7835051546391752,0.9149272612270716,0.8141592920353983,0.7450980392156863,0.8260869565217391,2D_nomes_striatum_rawderiv_20260419_195313,2D_nomes_striatum_rawderiv,True,"[76, 76, 76]"
0.8282828282828283,0.9170870113493065,0.8495575221238938,0.7884615384615384,0.8723404255319149,2D_nomes_striatum_rawderiv_20260419_195313,2D_nomes_striatum_rawderiv,True,"[76, 76, 76]"
0.8709677419354839,0.9263124604680582,0.8584070796460177,0.8709677419354839,0.8709677419354839,2D_nomes_striatum_rawderiv_20260419_195313,2D_nomes_striatum_rawderiv,True,"[76, 76, 76]"
0.8070175438596491,0.900375939849624,0.8053097345132744,0.8214285714285714,0.7931034482758621,2D_nomes_striatum_rawderiv_20260419_195313,2D_nomes_striatum_rawderiv,True,"[76, 76, 76]"
0.8269230769230769,0.9053459119496856,0.8407079646017699,0.8113207547169812,0.8431372549019608,2D_nomes_striatum_rawderiv_20260419_195313,2D_nomes_striatum_rawderiv,True,"[76, 76, 76]"
0.7704918032786885,0.8284993694829761,0.7522123893805309,0.7704918032786885,0.7704918032786885,2D_nomes_striatum_rawderiv_20260419_195313,2D_nomes_striatum_rawderiv,True,"[76, 76, 76]"
0.8214285714285714,0.9179197994987468,0.8230088495575221,0.8214285714285714,0.8214285714285714,2D_nomes_striatum_rawderiv_20260419_195313,2D_nomes_striatum_rawderiv,True,"[76, 76, 76]"
0.7777777777777778,0.9087860496311201,0.8230088495575221,0.8333333333333334,0.7291666666666666,2D_nomes_striatum_rawderiv_20260419_195313,2D_nomes_striatum_rawderiv,True,"[76, 76, 76]"
