epoch,train_loss,val_loss,val_acc,val_auc
1,0.6918,0.6888,0.5000,0.6398
2,0.6774,0.6814,0.5886,0.6440
3,0.6771,0.6740,0.6392,0.7097
4,0.6698,0.6606,0.6709,0.7524
5,0.6595,0.6542,0.6835,0.7542
6,0.6633,0.6526,0.6709,0.7705
7,0.6581,0.6438,0.6899,0.7883
8,0.6433,0.6304,0.7278,0.8196
9,0.6438,0.6285,0.7152,0.8056
10,0.6322,0.6110,0.7595,0.8657
11,0.6280,0.6020,0.7722,0.8608
12,0.6318,0.5979,0.7405,0.8519
13,0.6124,0.5849,0.7848,0.8766
14,0.6049,0.5843,0.7658,0.8856
15,0.6068,0.5903,0.7532,0.8375
16,0.5858,0.5690,0.7342,0.8492
17,0.5772,0.5579,0.7911,0.8983
18,0.5904,0.5926,0.6519,0.8902
19,0.5744,0.5880,0.6899,0.8846
20,0.5463,0.5344,0.8101,0.8942
21,0.5401,0.5164,0.7658,0.9032
22,0.5351,0.5179,0.7342,0.8760
23,0.5135,0.5078,0.8038,0.8942
24,0.5208,0.6051,0.6203,0.9005
25,0.5216,0.5207,0.7468,0.8922
26,0.5092,0.5685,0.6962,0.8747
27,0.5065,0.5077,0.8038,0.9000
28,0.5232,0.4895,0.7975,0.8906
29,0.4644,0.4585,0.7785,0.9008
30,0.4436,0.4752,0.8101,0.9039
31,0.4598,0.5218,0.7595,0.8952
32,0.4323,0.5313,0.7215,0.8869
33,0.4681,0.4878,0.7722,0.9128
34,0.4490,0.4725,0.7848,0.9210
35,0.4457,0.4620,0.7722,0.9210
36,0.4706,0.4570,0.8101,0.9063
37,0.4392,0.5494,0.6962,0.9156
38,0.4062,0.5539,0.6835,0.9053
39,0.4046,0.4370,0.8481,0.9277
40,0.3935,0.4175,0.8481,0.9241
41,0.3824,0.4568,0.7722,0.8777
42,0.3940,0.4349,0.8291,0.9108
43,0.4081,0.4162,0.8418,0.9152
44,0.3784,0.4090,0.8228,0.9178
45,0.3547,0.5107,0.7278,0.9207
46,0.3687,0.4010,0.8228,0.9162
47,0.3319,0.4372,0.7722,0.9162
48,0.3481,0.3928,0.8291,0.9207
49,0.3274,0.3911,0.7975,0.9196
50,0.3364,0.3987,0.8291,0.9149
51,0.3141,0.5343,0.7089,0.9173
52,0.3165,0.4242,0.7975,0.9071
53,0.3396,0.5440,0.7215,0.9152
54,0.3518,0.5160,0.7152,0.9173
55,0.3328,0.4206,0.7785,0.9160
56,0.3044,0.4033,0.7911,0.9237
57,0.2949,0.5782,0.7152,0.9281
58,0.2638,0.3660,0.7848,0.9276
59,0.3116,0.6232,0.6899,0.9218
60,0.3394,0.6872,0.6646,0.9032
61,0.2961,0.4079,0.8038,0.9170
62,0.3048,0.4167,0.7975,0.9205
63,0.3587,0.4107,0.8165,0.9135
64,0.3001,0.3811,0.8418,0.9258
65,0.2792,0.4012,0.8038,0.9207
66,0.2882,0.9714,0.5633,0.8779
67,0.2718,0.3595,0.8228,0.9223
68,0.3102,0.3773,0.7848,0.9325
69,0.3244,0.3568,0.8481,0.9330
70,0.2467,0.3646,0.8228,0.9220
71,0.2516,0.3452,0.8418,0.9266
72,0.2666,0.4620,0.7658,0.9226
73,0.2715,0.3666,0.8291,0.9160
74,0.2383,0.4998,0.7405,0.9205
75,0.2354,0.3487,0.8418,0.9263
76,0.2393,0.4215,0.7785,0.9228
77,0.2131,0.4066,0.8038,0.9317
78,0.2104,0.4143,0.8228,0.9018
79,0.2366,0.7816,0.6582,0.9258
80,0.2266,0.4187,0.8101,0.9253
81,0.2840,0.3797,0.8418,0.9170
82,0.2622,0.3515,0.8608,0.9239
83,0.2410,0.3957,0.7785,0.9308
84,0.2260,0.3293,0.8608,0.9327
85,0.2213,0.3654,0.8544,0.9290
86,0.2048,0.3616,0.8481,0.9261
87,0.2501,0.3531,0.8038,0.9330
88,0.2155,0.4173,0.7785,0.9241
89,0.2318,0.3388,0.8481,0.9282
90,0.2211,0.6024,0.7342,0.9074
91,0.2203,0.3308,0.8481,0.9383
92,0.2308,0.3820,0.8291,0.9375
93,0.1834,0.4415,0.7595,0.9263
94,0.1773,0.3495,0.8228,0.9317
95,0.1900,0.4265,0.7785,0.9388
96,0.2248,0.4431,0.7911,0.9340
97,0.2215,0.3422,0.8671,0.9357
98,0.1993,0.3348,0.8734,0.9266
99,0.2240,0.5247,0.7722,0.9257
100,0.1869,0.3182,0.8544,0.9340
