epoch,train_loss,val_loss,val_acc,val_auc
1,0.6998,0.6888,0.5000,0.8795
2,0.6829,0.6762,0.5380,0.8813
3,0.6823,0.6708,0.8038,0.8747
4,0.6805,0.6629,0.7152,0.8779
5,0.6693,0.6555,0.7532,0.8717
6,0.6686,0.6505,0.6962,0.8781
7,0.6663,0.6398,0.7468,0.8769
8,0.6536,0.6326,0.7595,0.8814
9,0.6501,0.6255,0.7342,0.8777
10,0.6419,0.6123,0.8038,0.8850
11,0.6290,0.5963,0.7658,0.8816
12,0.6120,0.5825,0.7658,0.8821
13,0.6074,0.5677,0.8165,0.8861
14,0.5976,0.5589,0.8101,0.8824
15,0.6215,0.5651,0.7025,0.8898
16,0.6233,0.5575,0.8165,0.8978
17,0.5748,0.5472,0.7658,0.8925
18,0.5793,0.5256,0.7848,0.8947
19,0.5823,0.5281,0.8228,0.8997
20,0.5355,0.5119,0.8228,0.8981
21,0.5462,0.5002,0.8291,0.9000
22,0.5448,0.4973,0.7785,0.9002
23,0.5330,0.4956,0.8228,0.9048
24,0.5552,0.4876,0.8228,0.9042
25,0.5190,0.4700,0.8101,0.9051
26,0.5057,0.4672,0.7975,0.9064
27,0.5082,0.4687,0.7658,0.9096
28,0.5016,0.4553,0.8165,0.9085
29,0.5099,0.4439,0.8291,0.9119
30,0.5052,0.4587,0.8038,0.9114
31,0.4572,0.4587,0.8038,0.9066
32,0.4718,0.4509,0.8165,0.9140
33,0.4675,0.4402,0.8291,0.9112
34,0.4645,0.4126,0.8354,0.9162
35,0.4623,0.4176,0.8291,0.9124
36,0.4364,0.4423,0.8038,0.9207
37,0.4374,0.4025,0.8418,0.9165
38,0.4825,0.4162,0.8544,0.9234
39,0.4645,0.4118,0.8544,0.9290
40,0.4108,0.3890,0.8671,0.9284
41,0.4534,0.4176,0.8101,0.9176
42,0.4148,0.3888,0.8228,0.9271
43,0.4174,0.3781,0.8228,0.9263
44,0.4446,0.4159,0.8101,0.9282
45,0.3862,0.3723,0.8671,0.9297
46,0.4043,0.3875,0.8354,0.9301
47,0.4095,0.3904,0.8354,0.9297
48,0.3820,0.3980,0.8228,0.9298
49,0.3757,0.3910,0.8544,0.9340
50,0.4026,0.3680,0.8544,0.9365
51,0.4066,0.3544,0.8734,0.9372
52,0.3860,0.3519,0.8671,0.9385
53,0.3718,0.3500,0.8608,0.9340
54,0.3404,0.3465,0.8671,0.9348
55,0.3793,0.3501,0.8354,0.9329
56,0.3917,0.4000,0.8101,0.9407
57,0.3336,0.3379,0.8671,0.9370
58,0.3338,0.3485,0.8734,0.9383
59,0.3503,0.3565,0.8291,0.9356
60,0.4480,0.3425,0.8671,0.9414
61,0.3570,0.3314,0.8544,0.9386
62,0.3601,0.3311,0.8671,0.9390
63,0.3668,0.3264,0.8608,0.9420
64,0.3505,0.3451,0.8797,0.9433
65,0.3337,0.3901,0.8038,0.9414
66,0.3555,0.3518,0.8734,0.9430
67,0.3407,0.3407,0.8797,0.9430
68,0.3247,0.3227,0.8608,0.9434
69,0.3412,0.3243,0.8797,0.9436
70,0.3091,0.3137,0.8671,0.9438
71,0.3047,0.3152,0.8734,0.9455
72,0.3084,0.3149,0.8797,0.9452
73,0.3128,0.3218,0.8987,0.9446
74,0.3235,0.3139,0.8861,0.9452
75,0.3476,0.3373,0.8671,0.9425
76,0.3066,0.3248,0.8734,0.9473
77,0.3089,0.3136,0.8734,0.9479
78,0.3050,0.3018,0.8734,0.9497
79,0.3054,0.3023,0.8797,0.9516
80,0.2993,0.3210,0.8924,0.9479
81,0.2803,0.3002,0.8924,0.9471
82,0.3012,0.3050,0.8797,0.9516
83,0.3150,0.2982,0.8861,0.9506
84,0.3019,0.2929,0.8924,0.9492
85,0.3177,0.2919,0.8861,0.9515
86,0.2624,0.3029,0.8797,0.9526
87,0.2259,0.2976,0.8671,0.9441
88,0.2723,0.3152,0.8481,0.9518
89,0.2627,0.2899,0.8924,0.9545
90,0.2506,0.2996,0.8987,0.9516
91,0.2558,0.2914,0.9051,0.9526
92,0.2517,0.2894,0.8924,0.9563
93,0.2599,0.3028,0.8734,0.9558
94,0.2598,0.3210,0.8797,0.9519
95,0.2335,0.3064,0.8544,0.9500
96,0.2208,0.3718,0.8165,0.9515
97,0.2477,0.3011,0.8797,0.9548
98,0.2608,0.2773,0.9114,0.9566
99,0.2431,0.2721,0.9114,0.9572
100,0.2463,0.2695,0.9114,0.9587
