epoch,train_loss,val_loss,val_acc,val_auc
1,0.6928,0.6439,0.7984,0.8751
2,0.6721,0.6267,0.7742,0.8671
3,0.6662,0.6274,0.7903,0.8814
4,0.6477,0.6038,0.8065,0.8798
5,0.6505,0.6077,0.6855,0.8842
6,0.6398,0.5873,0.7823,0.8790
7,0.6571,0.6112,0.6855,0.8894
8,0.6361,0.5769,0.8065,0.8780
9,0.5918,0.5724,0.7419,0.8751
10,0.6029,0.5645,0.7742,0.8819
11,0.5995,0.5493,0.7661,0.8884
12,0.6315,0.5413,0.7984,0.8868
13,0.6090,0.5375,0.8065,0.8871
14,0.6062,0.5349,0.8065,0.8905
15,0.5625,0.5303,0.8065,0.8809
16,0.6112,0.5351,0.8226,0.8855
17,0.5761,0.5221,0.7581,0.8889
18,0.5726,0.5060,0.7984,0.8861
19,0.5796,0.5331,0.7903,0.8759
20,0.5494,0.5087,0.7661,0.8957
21,0.5505,0.4980,0.8145,0.8855
22,0.5630,0.4996,0.8145,0.8887
23,0.5247,0.4975,0.7419,0.8840
24,0.5514,0.5116,0.7823,0.8790
25,0.5458,0.5185,0.7339,0.8941
26,0.5242,0.5000,0.7984,0.8767
27,0.5632,0.5008,0.8065,0.8845
28,0.5163,0.4570,0.8306,0.9004
29,0.5265,0.4751,0.8226,0.8900
30,0.5022,0.4570,0.7903,0.8970
31,0.4846,0.4728,0.8145,0.8928
32,0.4989,0.5224,0.7339,0.8871
33,0.5628,0.4761,0.7661,0.8967
34,0.5164,0.4668,0.7742,0.8936
35,0.4781,0.4623,0.8306,0.8884
36,0.4793,0.4712,0.7823,0.8923
37,0.5073,0.4535,0.8387,0.9032
38,0.4772,0.4611,0.8306,0.8913
39,0.4811,0.4433,0.8226,0.9009
40,0.4633,0.4370,0.8468,0.9126
41,0.4545,0.4279,0.8226,0.9084
42,0.4685,0.5845,0.6532,0.8858
43,0.4944,0.4842,0.7500,0.9017
44,0.4412,0.4422,0.8226,0.8998
45,0.4591,0.4326,0.8468,0.9032
46,0.4450,0.4245,0.8548,0.9058
47,0.4451,0.4208,0.8468,0.9149
48,0.4652,0.4824,0.7500,0.9269
49,0.4642,0.4248,0.8145,0.9227
50,0.4580,0.4135,0.8548,0.9076
51,0.4612,0.4309,0.8145,0.9170
52,0.4619,0.4270,0.8226,0.9061
53,0.3981,0.3939,0.8387,0.9238
54,0.4002,0.3897,0.8468,0.9311
55,0.4485,0.3887,0.8468,0.9238
56,0.4266,0.4096,0.8306,0.9217
57,0.4558,0.4568,0.7661,0.9253
58,0.4039,0.4215,0.7823,0.9139
59,0.4448,0.4007,0.8710,0.9308
60,0.4149,0.4071,0.7984,0.9266
61,0.3876,0.3982,0.8629,0.9227
62,0.4023,0.4624,0.7823,0.9142
63,0.4075,0.3663,0.8790,0.9350
64,0.4127,0.3853,0.8790,0.9235
65,0.4100,0.3928,0.8548,0.9259
66,0.4011,0.3760,0.8387,0.9376
67,0.4347,0.3878,0.8387,0.9308
68,0.3902,0.3794,0.8548,0.9191
69,0.3746,0.4183,0.7823,0.9329
70,0.3957,0.4379,0.7823,0.9264
71,0.4125,0.3679,0.8548,0.9363
72,0.4332,0.3705,0.8871,0.9324
73,0.4052,0.4936,0.7419,0.9139
74,0.3555,0.4114,0.7984,0.9331
75,0.3736,0.3886,0.8145,0.9344
76,0.3387,0.3596,0.8710,0.9318
77,0.3478,0.4196,0.8065,0.9209
78,0.3794,0.3864,0.8306,0.9363
79,0.3432,0.3353,0.9113,0.9438
80,0.3579,0.4011,0.7903,0.9386
81,0.3657,0.4029,0.7984,0.9383
82,0.3760,0.3578,0.8710,0.9373
83,0.3764,0.3543,0.8871,0.9350
84,0.3146,0.3269,0.8952,0.9488
85,0.3779,0.4978,0.7581,0.9420
86,0.3362,0.3458,0.8629,0.9467
87,0.3488,0.3251,0.9113,0.9443
88,0.3294,0.6222,0.6774,0.9448
89,0.3410,0.3570,0.8468,0.9381
90,0.3584,0.3285,0.8871,0.9490
91,0.3430,0.3201,0.9113,0.9467
92,0.3223,0.3599,0.8468,0.9264
93,0.3198,0.3338,0.8871,0.9360
94,0.3394,0.3677,0.8306,0.9409
95,0.3073,0.3773,0.8387,0.9396
96,0.3211,0.4578,0.7742,0.9347
97,0.3036,0.3359,0.8629,0.9488
98,0.2805,0.3962,0.8145,0.9386
99,0.3393,0.3476,0.8710,0.9370
100,0.2729,0.3151,0.9032,0.9438
