epoch,train_loss,val_loss,val_acc,val_auc
1,0.6948,0.6910,0.5000,0.7248
2,0.6923,0.6846,0.5242,0.7890
3,0.6829,0.6778,0.6048,0.7924
4,0.6857,0.6683,0.7258,0.7869
5,0.6789,0.6593,0.7581,0.7994
6,0.6648,0.6539,0.7097,0.7940
7,0.6711,0.6510,0.6532,0.8018
8,0.6583,0.6403,0.7419,0.8039
9,0.6498,0.6353,0.7419,0.8135
10,0.6534,0.6379,0.6452,0.8278
11,0.6433,0.6258,0.7500,0.8171
12,0.6500,0.6155,0.7419,0.8345
13,0.6349,0.6101,0.7581,0.8306
14,0.6207,0.6058,0.7661,0.8257
15,0.6225,0.6165,0.6774,0.8192
16,0.6376,0.6054,0.7419,0.8257
17,0.6234,0.5917,0.7581,0.8280
18,0.6154,0.5878,0.7661,0.8273
19,0.6147,0.5781,0.7500,0.8434
20,0.5905,0.5739,0.7742,0.8447
21,0.6030,0.5779,0.7419,0.8530
22,0.5946,0.5637,0.7984,0.8546
23,0.5967,0.5567,0.7984,0.8509
24,0.5487,0.5513,0.7903,0.8561
25,0.6039,0.5556,0.7661,0.8572
26,0.5738,0.5467,0.7177,0.8738
27,0.5373,0.5223,0.8065,0.8704
28,0.5400,0.5198,0.8065,0.8629
29,0.5590,0.5113,0.7903,0.8759
30,0.5298,0.5108,0.7903,0.8694
31,0.5307,0.5112,0.7500,0.8809
32,0.5359,0.5077,0.7823,0.8707
33,0.5214,0.4861,0.8065,0.8889
34,0.5004,0.4941,0.7984,0.8863
35,0.5049,0.4796,0.8145,0.8894
36,0.5377,0.4933,0.8065,0.8788
37,0.4745,0.5082,0.7903,0.8767
38,0.4721,0.4777,0.8145,0.8887
39,0.5133,0.4751,0.7823,0.8923
40,0.4646,0.4623,0.8226,0.8915
41,0.4860,0.4582,0.8065,0.8913
42,0.4861,0.4785,0.8145,0.8874
43,0.4617,0.5258,0.8145,0.8806
44,0.4767,0.4511,0.7984,0.8923
45,0.4532,0.4491,0.8145,0.8985
46,0.4751,0.5088,0.8065,0.8913
47,0.4440,0.4449,0.8065,0.8957
48,0.4854,0.4668,0.7903,0.8957
49,0.4313,0.4479,0.7984,0.9014
50,0.4042,0.4565,0.7903,0.8980
51,0.4432,0.4450,0.7903,0.8998
52,0.3795,0.4282,0.8387,0.9027
53,0.4108,0.4226,0.8226,0.9110
54,0.4234,0.4169,0.8145,0.9048
55,0.4045,0.4172,0.8387,0.9069
56,0.4019,0.4403,0.8065,0.9095
57,0.3870,0.4279,0.8306,0.9087
58,0.3972,0.5051,0.7339,0.9069
59,0.4204,0.5704,0.7258,0.9014
60,0.3812,0.4500,0.8226,0.9097
61,0.3479,0.4147,0.8306,0.9123
62,0.4116,0.4105,0.8306,0.9118
63,0.3964,0.4082,0.8226,0.9087
64,0.3673,0.4010,0.8226,0.9147
65,0.3692,0.4659,0.8065,0.9076
66,0.3733,0.4682,0.8468,0.9102
67,0.3726,0.4327,0.8226,0.9082
68,0.3469,0.3983,0.8306,0.9084
69,0.3404,0.4223,0.8145,0.9032
70,0.3465,0.4440,0.8306,0.9074
71,0.3440,0.3977,0.8306,0.9181
72,0.3527,0.4001,0.8226,0.9071
73,0.3448,0.4298,0.8145,0.9076
74,0.3394,0.3880,0.8306,0.9149
75,0.3341,0.3909,0.7984,0.9113
76,0.3285,0.3964,0.8145,0.9196
77,0.3441,0.4514,0.7903,0.9084
78,0.3223,0.3717,0.8306,0.9253
79,0.3071,0.4000,0.8226,0.9087
80,0.3147,0.4414,0.7984,0.9144
81,0.3245,0.5932,0.6452,0.9277
82,0.3408,0.3895,0.8387,0.9152
83,0.3541,0.3740,0.8387,0.9199
84,0.2963,0.3639,0.8306,0.9266
85,0.2630,0.3819,0.8387,0.9274
86,0.2684,0.6000,0.6694,0.9235
87,0.2979,0.3630,0.8387,0.9212
88,0.3283,0.3653,0.8226,0.9207
89,0.2826,0.3982,0.8387,0.9102
90,0.2576,0.3754,0.8387,0.9175
91,0.3185,0.3939,0.8226,0.9116
92,0.3105,0.3755,0.8065,0.9149
93,0.2616,0.4693,0.7984,0.9095
94,0.3413,0.3503,0.8468,0.9311
95,0.2611,0.4763,0.7823,0.9272
96,0.2925,0.3806,0.8226,0.9194
97,0.2903,0.3652,0.8306,0.9222
98,0.3047,0.3450,0.8387,0.9311
99,0.3037,0.3616,0.8306,0.9272
100,0.3008,0.3750,0.8387,0.9248
